placeDcid,placeName,Date:Mean_Temperature,Value:Mean_Temperature,Source:Mean_Temperature
wikidataId/Q163239,Balochistan,2015-01,12.6363,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-02,16.5315,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-03,18.9016,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-04,26.9458,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-05,31.2165,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-06,33.2945,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-07,33.3469,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-08,31.7199,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-09,27.8995,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-10,25.4542,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-11,17.7497,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2015-12,12.5298,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2016-01,13.6497,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2016-02,15.6851,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
wikidataId/Q163239,Balochistan,2016-03,20.7871,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
